AnthonyDeroche/mod_authnz_jwt	DIVERGE	843	462	ch=991
cpptest/cpptest	DIVERGE	912	513	ch=1089
df7cb/sdate	DIVERGE	1038	585	ch=1221
BirolLab/biobloom	DIVERGE	873	506	ch=1043
gavioto/fastdb	DIVERGE	641	517	ch=898
graydon/monotone	DIVERGE	10929	1037	ch=11134
adulau/dcfldd	DIVERGE	633	527	ch=948
ceph/gf-complete	DIVERGE	864	520	ch=1046
hfiguiere/libopenraw	DIVERGE	1124	560	ch=1296
chenbd/miracle	DIVERGE	2170	833	ch=2591
cryptozeny/cpuminer-opt-sugarchain	DIVERGE	7094	803	ch=7525
cr-marcstevens/m4gb	DIVERGE	1732	807	ch=2125
cmcqueen/aes-min	DIVERGE	1528	725	ch=1893
gingi/fastbit	DIVERGE	942	571	ch=1127
greyltc/android_external_sshfs	DIVERGE	944	511	ch=1119
EasyRPG/Tools	DIVERGE	774	439	ch=921
hgst/libnvme	DIVERGE	1469	644	ch=1721
esrille/escudo	DIVERGE	11502	972	ch=12034
graygnuorg/pound	DIVERGE	870	533	ch=1065
adiknoth/netatalk-debian	DIVERGE	952	522	ch=1136
flightaware/tclreadline	DIVERGE	1117	578	ch=1339
fries/android-external-openvpn	DIVERGE	1084	815	ch=1585
bat/bat	DIVERGE	1050	595	ch=1229
darshan-hpc/darshan	DIVERGE	805	522	ch=991
andrewshadura/tnat64	DIVERGE	1634	742	ch=1984
adapteva/epiphany-libs	DIVERGE	1947	858	ch=2401
davexunit/guile-2d	DIVERGE	870	530	ch=1054
autotools-mirror/autoconf	DIVERGE	2366	520	ch=2444
Distrotech/minicom	DIVERGE	770	531	ch=1017
cdobrich/btnx	DIVERGE	613	520	ch=891
bytedance/ovs-dpdk	DIVERGE	7569	2212	ch=8273
detomastah/adwc	DIVERGE	798	518	ch=982
cslarsen/mickey-scheme	DIVERGE	895	602	ch=1161
golems/ach	DIVERGE	2700	1256	ch=3460
anatol/google-coredumper	DIVERGE	970	783	ch=1407
eriknyquist/librxvm	DIVERGE	816	519	ch=999
barak/oaklisp	DIVERGE	884	530	ch=1080
hroptatyr/yuck	DIVERGE	902	465	ch=1057
chaoskagami/corbenik	DIVERGE	831	564	ch=971
idiap/juicer	DIVERGE	909	508	ch=1077
chaos/slurm	DIVERGE	1098	551	ch=1271
holzschu/lib-tex	DIVERGE	1063	556	ch=1245
cisco/open-nFAPI	DIVERGE	861	518	ch=1037
dmalhotra/pvfmm	DIVERGE	1529	891	ch=1974
dbcode/protobuf-nginx	DIVERGE	696	520	ch=950
firnsy/yubipam	DIVERGE	853	521	ch=1032
GNOME/dasher	DIVERGE	956	523	ch=1139
anewhuahua/bilitw	DIVERGE	961	523	ch=1140
gyoto/Gyoto	DIVERGE	1015	552	ch=1193
arkadijs/asterisk-g72x	DIVERGE	1182	571	ch=1433
arthurdejong/nss-pam-ldapd	DIVERGE	938	570	ch=1102
ewxrjk/sftpserver	DIVERGE	1158	593	ch=1305
cmand/yarrp	DIVERGE	1241	693	ch=1554
ayyi/samplecat	DIVERGE	979	531	ch=1150
avrdudes/avarice	DIVERGE	838	523	ch=1019
chimari/MaCoPiX	DIVERGE	1079	523	ch=1252
grondo/edac-utils	DIVERGE	637	525	ch=950
cybergarage/usql	DIVERGE	774	516	ch=960
fripon/freeture	DIVERGE	722	539	ch=1011
bestouff/genext2fs	DIVERGE	1247	661	ch=1570
dmtx/dmtx-utils	DIVERGE	953	525	ch=1140
fumiyas/wcwidth-cjk	DIVERGE	983	515	ch=1144
cherojeong/extundelete	DIVERGE	742	551	ch=979
baszoetekouw/pinfo	DIVERGE	890	527	ch=1073
CyberNinjas/pam_aad	DIVERGE	892	479	ch=1037
cluslab/metastack	DIVERGE	877	565	ch=1120
ganehag/open-modbusgateway	DIVERGE	782	517	ch=969
alsaplayer/alsaplayer	DIVERGE	1010	523	ch=1187
hhirsch/abook	DIVERGE	1020	583	ch=1223
cmbi/dssp	DIVERGE	967	514	ch=1155
hb9xar/siproxd	DIVERGE	854	521	ch=1039
heltilda/cicada	DIVERGE	586	470	ch=842
ewxrjk/with-readline	DIVERGE	944	496	ch=1104
colaghost/coroutine_event	DIVERGE	791	519	ch=1000
Gotos/CuteCapture	DIVERGE	890	510	ch=1064
gcp/sjeng	DIVERGE	799	573	ch=1090
dyne/FreeJ	DIVERGE	984	560	ch=1206
haproxytech/spoa-mirror	DIVERGE	836	520	ch=1022
chaos/powerman	DIVERGE	922	528	ch=1090
GNOME/alacarte	DIVERGE	977	536	ch=1135
coin3d/quarter	DIVERGE	807	529	ch=1068
EvolBioInf/andi	DIVERGE	1304	685	ch=1625
horms/ovs	DIVERGE	7509	2177	ch=8146
abrt/faf	DIVERGE	867	524	ch=1049
DE-IBH/imvirt	DIVERGE	872	530	ch=1072
hunspell/mythes	DIVERGE	1049	526	ch=1223
dancor/wmctrl	DIVERGE	541	502	ch=795
grinsfem/grins	DIVERGE	1325	545	ch=1512
dora38/sshpass	DIVERGE	875	501	ch=1042
coin-or/Rehearse	DIVERGE	747	540	ch=1041
gentoo/portage-utils	DIVERGE	2583	697	ch=2892
fasrc/slurm_showq	DIVERGE	621	488	ch=847
divVerent/s2tc	DIVERGE	1126	597	ch=1357
dex4er/nss-docker	DIVERGE	872	529	ch=1043
golems/amino	DIVERGE	5650	2429	ch=7385
hackerschoice/gsocket-relay	DIVERGE	895	511	ch=1072
detomon/BlipKit	DIVERGE	832	526	ch=1014
essej/freqtweak	DIVERGE	907	510	ch=1083
gabrielfalcao/go-horse	DIVERGE	1016	563	ch=1205
compiz-reloaded/emerald	DIVERGE	885	532	ch=1063
coolwanglu/scanmem_	DIVERGE	1199	663	ch=1462
gkobeaga/op-solver	DIVERGE	810	519	ch=995
astromatic/psfex	DIVERGE	1014	543	ch=1173
elmar/ldap-git-backup	DIVERGE	778	486	ch=934
cbg-ethz/shorah	DIVERGE	1644	846	ch=2100
ibm-power-utilities/powerpc-utils	DIVERGE	1768	977	ch=2349
benchmark-subsetting/cere	DIVERGE	918	507	ch=1091
argonne-lcf/THAPI	DIVERGE	879	509	ch=1052
epruesse/SINA	DIVERGE	2164	915	ch=2567
coin-or-tools/ThirdParty-HSL	DIVERGE	1109	585	ch=1410
ArchimedesCAD/libredwg	DIVERGE	853	520	ch=1029
GNUFreetalk/freetalk	DIVERGE	1601	924	ch=2111
atinm/poker-eval	DIVERGE	894	509	ch=1121
fontforge/libuninameslist	DIVERGE	1205	702	ch=1469
gerstner-hub/xwmfs	DIVERGE	860	504	ch=1030
archiecobbs/mtree-port	DIVERGE	999	542	ch=1183
firoorg/cpuminer	DIVERGE	3692	681	ch=4001
Chronic-Dev/libgcrypt	DIVERGE	917	539	ch=1086
h4mu/rott94	DIVERGE	787	517	ch=968
boundary/libdnet	DIVERGE	924	511	ch=1089
dreamlayers/synaesthesia	DIVERGE	929	515	ch=1106
gobolinux/GoboNet	DIVERGE	873	496	ch=1039
Floobits/diffshipper	DIVERGE	1068	577	ch=1277
BIC-MNI/minc	DIVERGE	4097	2054	ch=5475
geodynamics/citcoms	DIVERGE	858	518	ch=1032
dmatveev/libinotify-kqueue	DIVERGE	1653	567	ch=1876
emk/eshell	DIVERGE	1461	968	ch=2035
filiphanes/fts-elastic	DIVERGE	879	519	ch=1056
dbadapt/mutrace	DIVERGE	1089	525	ch=1268
cmusatyalab/vmnetx	DIVERGE	1672	837	ch=2083
doug65536/dgos	DIVERGE	41487	3009	ch=42842
GNUnet-Mirror/GNUnet	DIVERGE	1075	549	ch=1258
hroptatyr/clob	DIVERGE	912	462	ch=1052
Apress/Why-Learn-C	DIVERGE	1340	530	ch=1516
duality-solutions/Dynamic-GPU-Miner-Nvidia	DIVERGE	3142	823	ch=3455
ahkok/bootchart	DIVERGE	854	495	ch=1017
esrille/esidl	DIVERGE	1277	617	ch=1540
GNOME/metacity	DIVERGE	893	524	ch=1081
awsteiner/o2scl	DIVERGE	1031	642	ch=1089
facchinm/avrdude	DIVERGE	2889	648	ch=3101
benwbooth/tvision	DIVERGE	806	522	ch=1018
dreibh/sctplib	DIVERGE	880	520	ch=1058
Enough-Software/pcap-http-analyzer	DIVERGE	810	517	ch=993
goatattack/goatattack	DIVERGE	843	531	ch=1024
abrt/libreport	DIVERGE	999	533	ch=1166
chiphackers/covered	DIVERGE	723	520	ch=979
eiichiroi/autotools-unittest	DIVERGE	1843	820	ch=2135
dtbartle/cgminer-gc3355	DIVERGE	1570	594	ch=1860
ademakov/Oroch	DIVERGE	801	517	ch=982
htrb/ngraph-gtk	DIVERGE	985	537	ch=1172
golosio/NeuronGPU	DIVERGE	1034	495	ch=1201
agn453/ZXCC	DIVERGE	826	510	ch=1058
BIMSBbioinfo/swineherd	DIVERGE	1508	731	ch=1853
brynet/file	DIVERGE	1045	511	ch=1228
AlmuHS/GNUMach_SMP	DIVERGE	9443	1637	ch=10498
daveshields/jikes	DIVERGE	582	520	ch=910
damien-lemoal/zonefs-tools	DIVERGE	814	530	ch=1006
davidt/Fyre	DIVERGE	822	519	ch=1005
cpu-pool/cpuminer-opt-cpupower	DIVERGE	7181	804	ch=7613
badoo/libpssh	DIVERGE	834	504	ch=1002
HewlettPackard/nagios-plugins-hpilo	DIVERGE	721	518	ch=975
darrenjs/log2mem	DIVERGE	859	518	ch=1035
CICM/HoaLibrary-PD	DIVERGE	1066	567	ch=1261
fasseg/crumbs	DIVERGE	897	517	ch=1072
dns-stats/hedgehog	DIVERGE	906	532	ch=1098
gobolinux/GoboHide	DIVERGE	850	521	ch=1027
cisco/opus	DIVERGE	3621	952	ch=4097
corazawaf/libcoraza	DIVERGE	896	516	ch=1016
brunonymous/Powermanga	DIVERGE	878	507	ch=1051
drycpp/libposix	DIVERGE	813	520	ch=999
GabrielDosReis/open-axiom	DIVERGE	1100	480	ch=1208
cybergarage/mupnp-cc	DIVERGE	796	517	ch=981
